id,symbol,name,peg_ccy,current_price,market_cap,total_volume,circulating_supply,price_change_percentage_24h,last_updated
euro-coin,eurc,EURC,EUR,1.15,469399482,13546448,408431836.6702362,-0.02869,2026-09-20T10:11:20.000Z
societe-generale-forge-eurcv,eurcv,EUR CoinVertible,EUR,1.15,192908598,10858362,167780470.33,-0.02668,2026-09-20T10:11:20.000Z
royal-euro,reur,Royal Euro,EUR,4.13,62008637,19804868,15000000.0,,2026-06-29T19:55:10.000Z
brz,brz,Brazilian Digital,BRL,0.193532,52882227,3703.8,273246562.4328885,-0.10324,2026-09-20T10:11:20.000Z
eurite,euri,Eurite,EUR,1.15,38093097,2258386,33139851.48990108,-0.04727,2026-09-20T10:11:20.000Z
brla-digital-brla,brla,BRLA Digital BRLA,BRL,0.19349,34779625,90207,179748104.7313279,-0.16298,2026-09-20T10:11:20.000Z
monerium-eur-money-2,eure,Monerium EUR emoney,EUR,1.15,33942537,297726,29526484.24508764,0.00356,2026-09-20T10:11:20.000Z
monerium-eur-money,eure,Monerium EUR emoney [OLD],EUR,1.15,28791341,467169,25049179.18002487,-0.0632,2026-09-20T10:11:20.000Z
xsgd,xsgd,XSGD,SGD,0.782525,12962263,325344,16561373.239569,0.01676,2026-09-20T10:11:20.000Z
rupiah-token,idrt,Rupiah Token,IDR,5.494e-05,9552429,13.03,173856905811.0,,2026-09-19T22:55:40.000Z
stasis-eurs,eurs,STASIS EURO,EUR,1.18,6964880,16.4,5907155.64,-0.90622,2026-09-20T10:11:20.000Z
quantoz-eurq,eurq,Quantoz EURQ,EUR,1.12,5189719,1033292,4630023.285709,-0.88839,2026-09-20T10:11:20.000Z
zarp-stablecoin,zarp,ZARP Stablecoin,ZAR,0.061779,4448363,701.25,72004353.81510787,-1.10506,2026-09-20T10:11:20.000Z
pht-stablecoin,pht,PHT Stablecoin,PHP,0.01607427,3616902,101.08,225011899.7613014,,2026-08-14T17:36:40.000Z
mxnb,mxnb,MXNB,MXN,0.057659,2887707,21458,50082418.86121,-0.81022,2026-09-20T10:11:20.000Z
par-stablecoin,par,Parallel,EUR,1.24,2772241,175.23,2240894.0,-0.88921,2026-09-20T10:11:20.000Z
bilira,tryb,BiLira,TRY,0.02050082,2749003,0.678573,134092323.609848,,2026-09-20T07:31:20.000Z
compliant-naira,cngn,Compliant Naira,NGN,0.00072865,2734063,11.28,3752179916.240522,-0.0964,2026-09-20T10:11:20.000Z
brl1,brl1,BRL1,BRL,0.19399,2610109,104298,13454917.54,-0.03994,2026-09-20T10:11:20.000Z
brazilian-real,wbrl,Brazilian real,BRL,0.193954,1745341,1482.97,8998687.38,0.129,2026-09-20T10:11:20.000Z
decentralized-euro,deuro,Decentralized Euro,EUR,1.15,1678247,3.49,1455785.969283271,,2026-08-03T23:52:30.000Z
