id,symbol,name,peg_ccy,current_price,market_cap,total_volume,circulating_supply,price_change_percentage_24h,last_updated
euro-coin,eurc,EURC,EUR,1.15,469709238,29101773,407258012.2140252,-0.0088,2026-09-16T10:23:20.000Z
societe-generale-forge-eurcv,eurcv,EUR CoinVertible,EUR,1.15,192591259,60812660,166871712.94,0.03882,2026-09-16T10:23:20.000Z
royal-euro,reur,Royal Euro,EUR,4.13,62008637,19804868,15000000.0,,2026-06-29T19:55:10.000Z
brz,brz,Brazilian Digital,BRL,0.193106,52698917,7440.14,272899943.1162513,0.05399,2026-09-16T10:23:20.000Z
eurite,euri,Eurite,EUR,1.15,38232495,7473674,33139851.48990108,0.01816,2026-09-16T10:23:20.000Z
monerium-eur-money-2,eure,Monerium EUR emoney,EUR,1.15,32323651,530598,28084906.77516957,-0.1284,2026-09-16T10:23:20.000Z
monerium-eur-money,eure,Monerium EUR emoney [OLD],EUR,1.15,27117542,355875,23541459.64010681,-0.1176,2026-09-16T10:23:20.000Z
brla-digital-brla,brla,BRLA Digital BRLA,BRL,0.193329,25758950,187993,133237650.2040156,0.11909,2026-09-16T10:23:20.000Z
xsgd,xsgd,XSGD,SGD,0.784963,12943017,568892,16487374.589569,-0.15693,2026-09-16T10:23:20.000Z
rupiah-token,idrt,Rupiah Token,IDR,5.649e-05,9820491,21.84,173856905811.0,,2026-09-16T10:23:20.000Z
stasis-eurs,eurs,STASIS EURO,EUR,1.18,6969387,48.56,5907155.64,-0.6391,2026-09-16T10:23:20.000Z
quantoz-eurq,eurq,Quantoz EURQ,EUR,1.11,5108558,2566819,4613598.585709,-0.40028,2026-09-16T10:23:20.000Z
zarp-stablecoin,zarp,ZARP Stablecoin,ZAR,0.060388,4348230,45809,72004353.81510787,-1.53113,2026-09-16T10:23:20.000Z
bilira,tryb,BiLira,TRY,0.02046676,3726863,1.66,182093457.704537,,2026-09-16T09:13:40.000Z
pht-stablecoin,pht,PHT Stablecoin,PHP,0.01607427,3616902,101.08,225011899.7613014,,2026-08-14T17:36:40.000Z
compliant-naira,cngn,Compliant Naira,NGN,0.00072619,3067484,19707.34,4224036694.720523,-0.6404,2026-09-16T10:23:20.000Z
par-stablecoin,par,Parallel,EUR,1.21,2717531,416.1,2240894.0,0.56327,2026-09-16T10:23:20.000Z
brl1,brl1,BRL1,BRL,0.193929,2609284,544228,13454917.54,-0.35935,2026-09-16T10:23:20.000Z
mxnb,mxnb,MXNB,MXN,0.058339,2504086,7431.51,42922971.52821,-0.03408,2026-09-16T10:23:20.000Z
