id,symbol,name,peg_ccy,current_price,market_cap,total_volume,circulating_supply,price_change_percentage_24h,last_updated
euro-coin,eurc,EURC,EUR,1.15,463067066,41861333,404023757.6502192,-0.13638,2026-09-22T10:26:10.000Z
societe-generale-forge-eurcv,eurcv,EUR CoinVertible,EUR,1.15,192326360,26512735,167780470.33,-0.12195,2026-09-22T10:26:10.000Z
royal-euro,reur,Royal Euro,EUR,4.13,62008637,19804868,15000000.0,,2026-06-29T19:55:10.000Z
brz,brz,Brazilian Digital,BRL,0.193766,52950852,8508.17,273274565.6215297,0.31368,2026-09-22T10:26:10.000Z
eurite,euri,Eurite,EUR,1.15,37958381,10030783,33139851.48990108,-0.15889,2026-09-22T10:26:10.000Z
monerium-eur-money-2,eure,Monerium EUR emoney,EUR,1.15,33826264,1365861,29412523.22605776,0.03362,2026-09-22T10:26:10.000Z
monerium-eur-money,eure,Monerium EUR emoney [OLD],EUR,1.15,28490618,620566,24836458.59099499,-0.22696,2026-09-22T10:26:10.000Z
brla-digital-brla,brla,BRLA Digital BRLA,BRL,0.194696,27013565,220241,138748611.3987622,0.71226,2026-09-22T10:26:10.000Z
xsgd,xsgd,XSGD,SGD,0.784174,12948767,599797,16511373.239569,0.0758,2026-09-22T10:26:10.000Z
rupiah-token,idrt,Rupiah Token,IDR,5.615e-05,9762436,6.73,173856905811.0,1.1221,2026-09-21T23:34:50.000Z
stasis-eurs,eurs,STASIS EURO,EUR,1.19,7021209,4444.21,5907155.64,,2026-09-22T10:26:10.000Z
quantoz-eurq,eurq,Quantoz EURQ,EUR,1.13,5246161,1179571,4630023.285709,0.6868,2026-09-22T10:26:10.000Z
zarp-stablecoin,zarp,ZARP Stablecoin,ZAR,0.061784,4448689,8014.33,72004353.81510787,0.14817,2026-09-22T10:26:10.000Z
pht-stablecoin,pht,PHT Stablecoin,PHP,0.01607427,3616902,101.08,225011899.7613014,,2026-08-14T17:36:40.000Z
mxnb,mxnb,MXNB,MXN,0.05804,3247907,360.11,55958988.01121,6.96118,2026-09-22T10:26:10.000Z
compliant-naira,cngn,Compliant Naira,NGN,0.00072579,2914760,75.68,4016031390.870522,-0.0486,2026-09-22T10:26:10.000Z
par-stablecoin,par,Parallel,EUR,1.25,2800428,433.55,2240894.0,-0.55965,2026-09-22T10:26:10.000Z
bilira,tryb,BiLira,TRY,0.02050082,2749003,0.678573,134092323.609848,,2026-09-20T07:31:20.000Z
brl1,brl1,BRL1,BRL,0.195686,2632967,1710824,13454917.54,0.63412,2026-09-22T10:26:10.000Z
brazilian-real,wbrl,Brazilian real,BRL,0.19481,1753016,8634.64,8998687.38,0.4668,2026-09-22T10:26:10.000Z
decentralized-euro,deuro,Decentralized Euro,EUR,1.15,1678247,3.49,1455785.969283271,,2026-08-03T23:52:30.000Z
ageur,eura,EURA,EUR,1.15,1574669,8492.24,1374127.50038698,-0.27484,2026-09-22T10:26:10.000Z
celo-euro,eurm,Mento Euro,EUR,1.14,1563139,24484,1368902.812088283,-0.71276,2026-09-22T10:26:10.000Z
anchored-coins-eur,aeur,Anchored Coins AEUR,EUR,1.14,1124108,8928.66,983181.76,,2026-07-31T11:00:20.000Z
idrx,idrx,IDRX,IDR,5.641e-05,1045554,12940.06,18534124233.14,-0.1209,2026-09-22T10:26:10.000Z
stablr-euro,eurr,StablR Euro,EUR,0.059595,1021640,4.02,17143032.563007,,2026-09-19T12:13:00.000Z
vnx-euro,veur,VNX EURO,EUR,0.289208,799394,0.104,2764082.75105,,2026-06-21T12:25:40.000Z
jarvis-synthetic-euro,jeur,Jarvis Synthetic Euro,EUR,1.14,598863,834.76,524157.6596441626,-0.14284,2026-09-22T10:26:10.000Z
tether-eurt,eurt,Euro Tether,EUR,0.059039,245241,237.24,4153902.7318629995,6.28936,2026-09-22T10:26:10.000Z
newrails-euro,eurw,Newrails Euro,EUR,1.15,241764,2642948,211010.3136,-0.15371,2026-09-22T10:26:10.000Z
celo-real-creal,brlm,Mento Brazilian Real,BRL,0.195015,210977,4017.0,1082277.165418175,0.33915,2026-09-22T10:26:10.000Z
colombian-peso,wcop,Colombian Peso,COP,0.00031817,200843,1524.75,631258753.7968985,-0.80593,2026-09-22T10:26:10.000Z
token-teknoloji-a-s-euro,eurot,Token Teknoloji A.Ş. EURO,EUR,1.15,183415,6984.72,160000.0,-0.21609,2026-09-22T10:26:10.000Z
argentine-peso,wars,Argentine Peso,ARS,0.00062963,183206,11294.71,291000000.0,-0.5932,2026-09-22T10:26:10.000Z
real-mxn,mxne,Real MXN,MXN,0.058163,83114,10.18,1428994.67,,2026-09-20T09:25:40.000Z
celo-kenyan-shilling,kesm,Mento Kenyan Shilling,KES,0.00771429,79801,21979,10346607.84432118,-0.35036,2026-09-22T10:26:10.000Z
mexican-peso,wmxn,Mexican Peso,MXN,0.058692,68598,302.84,1168788.69309,-0.49317,2026-09-22T10:26:10.000Z
celo-nigerian-naira,ngnm,Mento Nigerian Naira,NGN,0.00073052,56599,9.94,77476873.2520525,,2026-06-24T03:06:20.000Z
puso,phpm,Mento Philippine Peso,PHP,0.01595726,25800,25.99,1616827.365614742,,2026-09-22T10:26:10.000Z
ccop,copm,Mento Colombian Peso,COP,0.00031878,21675,9.93,67994219.89493266,,2026-08-16T05:39:40.000Z
celo-south-african-rand,zarm,Mento South African Rand,ZAR,0.061663,678.39,1.83,11001.49053576554,,2026-09-14T20:57:50.000Z
stablenaira,snr,StableNaira,NGN,0.0,3.9618e-14,14.94,27600988.77,,2026-07-23T17:18:30.000Z
real-usd,usdr,Real USD,BRL,0.425817,0.0,1364.76,0.0,-3.47895,2026-09-22T10:26:10.000Z
