id,symbol,name,peg_ccy,current_price,market_cap,total_volume,circulating_supply,price_change_percentage_24h,last_updated
euro-coin,eurc,EURC,EUR,1.14,459515408,23163027,403493105.6223392,-0.05142,2026-09-26T10:20:20.000Z
societe-generale-forge-eurcv,eurcv,EUR CoinVertible,EUR,1.14,191046866,22020182,167780470.33,-0.07166,2026-09-26T10:20:20.000Z
royal-euro,reur,Royal Euro,EUR,4.13,62008637,19804868,15000000.0,,2026-06-29T19:55:10.000Z
brz,brz,Brazilian Digital,BRL,0.191999,54359571,13355.67,283126165.0442291,-0.02928,2026-09-26T10:20:20.000Z
eurite,euri,Eurite,EUR,1.14,37740056,2423473,33139851.48990108,-0.06977,2026-09-26T10:20:20.000Z
monerium-eur-money-2,eure,Monerium EUR emoney,EUR,1.14,33709664,673398,29584154.26648985,0.04678,2026-09-26T10:20:20.000Z
brla-digital-brla,brla,BRLA Digital BRLA,BRL,0.192222,30664477,138016,159527233.4244716,-0.10023,2026-09-26T10:20:20.000Z
monerium-eur-money,eure,Monerium EUR emoney [OLD],EUR,1.14,28579010,279238,25087950.79142708,0.16741,2026-09-26T10:20:20.000Z
xsgd,xsgd,XSGD,SGD,0.781759,12908011,276935,16511373.239569,0.00994,2026-09-26T10:20:20.000Z
rupiah-token,idrt,Rupiah Token,IDR,5.618e-05,9768463,1.49,173856905811.0,0.13422,2026-09-26T10:20:20.000Z
quantoz-eurq,eurq,Quantoz EURQ,EUR,1.13,5251145,895972,4643523.285709,-0.15444,2026-09-26T10:20:20.000Z
stasis-eurs,eurs,STASIS EURO,EUR,0.883028,5216163,4.59,5907155.64,-25.7295,2026-09-26T10:20:20.000Z
zarp-stablecoin,zarp,ZARP Stablecoin,ZAR,0.061527,4430189,9679.78,72004353.81510787,0.32362,2026-09-26T10:20:20.000Z
brl1,brl1,BRL1,BRL,0.192961,3657568,1512150,18954917.54,0.14189,2026-09-26T10:20:20.000Z
pht-stablecoin,pht,PHT Stablecoin,PHP,0.01607427,3616902,101.08,225011899.7613014,,2026-08-14T17:36:40.000Z
compliant-naira,cngn,Compliant Naira,NGN,0.00073001,3514651,661.64,4814554666.800524,0.02181,2026-09-26T10:20:20.000Z
mxnb,mxnb,MXNB,MXN,0.056751,2948250,2789.34,51950471.245032,0.27263,2026-09-26T10:20:20.000Z
par-stablecoin,par,Parallel,EUR,1.23,2767376,137.71,2240894.0,0.26469,2026-09-26T10:20:20.000Z
brazilian-real,wbrl,Brazilian real,BRL,0.192466,2211364,5201.47,11489707.72478749,-0.37487,2026-09-26T10:20:20.000Z
decentralized-euro,deuro,Decentralized Euro,EUR,1.15,1678247,3.49,1455785.969283271,,2026-08-03T23:52:30.000Z
celo-euro,eurm,Mento Euro,EUR,1.15,1576914,14201.74,1371282.758887593,0.75938,2026-09-26T10:20:20.000Z
ageur,eura,EURA,EUR,1.14,1458355,1684.53,1280237.761937472,0.10266,2026-09-26T10:20:20.000Z
stablr-euro,eurr,StablR Euro,EUR,0.075004,1285799,843.21,17143032.563007,,2026-09-24T22:21:10.000Z
anchored-coins-eur,aeur,Anchored Coins AEUR,EUR,1.14,1124108,8928.66,983181.76,,2026-07-31T11:00:20.000Z
idrx,idrx,IDRX,IDR,5.617e-05,1041147,10114.42,18534124233.14,0.1328,2026-09-26T10:20:20.000Z
bilira,tryb,BiLira,TRY,0.02049427,938927,1.93,45814144.359267,,2026-09-23T10:13:20.000Z
vnx-euro,veur,VNX EURO,EUR,0.289208,799394,0.104,2764082.75105,,2026-06-21T12:25:40.000Z
jarvis-synthetic-euro,jeur,Jarvis Synthetic Euro,EUR,1.14,598755,245.18,524162.6596441626,0.1711,2026-09-26T10:20:20.000Z
newrails-euro,eurw,Newrails Euro,EUR,1.14,420797,1433191,369591.3036,-0.08684,2026-09-26T10:20:20.000Z
celo-real-creal,brlm,Mento Brazilian Real,BRL,0.192179,218867,2367.98,1138877.685025563,-0.48158,2026-09-26T10:20:20.000Z
colombian-peso,wcop,Colombian Peso,COP,0.00031101,196330,740.88,631258753.7968985,0.18925,2026-09-26T10:20:20.000Z
tether-eurt,eurt,Euro Tether,EUR,0.04415112,183399,0.088302,4153902.7318629995,-28.73402,2026-09-26T10:04:10.000Z
token-teknoloji-a-s-euro,eurot,Token Teknoloji A.Ş. EURO,EUR,1.14,182127,7291.94,160000.0,-0.10922,2026-09-26T10:20:20.000Z
