id,symbol,name,peg_ccy,current_price,market_cap,total_volume,circulating_supply,price_change_percentage_24h,last_updated
euro-coin,eurc,EURC,EUR,1.16,459177928,46125651,396535623.5086681,-0.57595,2026-08-28T17:48:20.000Z
societe-generale-forge-eurcv,eurcv,EUR CoinVertible,EUR,1.16,181384303,16460845,156645983.99,-0.59909,2026-08-28T17:48:20.000Z
royal-euro,reur,Royal Euro,EUR,4.13,62008637,19804868,15000000.0,,2026-06-29T19:55:10.000Z
brz,brz,Brazilian Digital,BRL,0.191375,51550569,22354,269366985.133771,-0.7635,2026-08-28T17:48:20.000Z
eurite,euri,Eurite,EUR,1.16,38373362,20345627,33139851.48990108,-0.56597,2026-08-28T17:48:20.000Z
monerium-eur-money-2,eure,Monerium EUR emoney,EUR,1.16,32677447,690317,28121396.62044919,-0.2904,2026-08-28T17:48:20.000Z
monerium-eur-money,eure,Monerium EUR emoney [OLD],EUR,1.16,27444777,689176,23607452.25077463,-0.2234,2026-08-28T17:48:20.000Z
brla-digital-brla,brla,BRLA Digital BRLA,BRL,0.191251,26595168,260126,139057636.9147124,-0.82015,2026-08-28T17:48:20.000Z
xsgd,xsgd,XSGD,SGD,0.784294,12996226,585040,16570482.639569,-0.3247,2026-08-28T17:48:20.000Z
rupiah-token,idrt,Rupiah Token,IDR,5.656e-05,9833418,14.71,173856905811.0,0.01386,2026-08-28T00:29:00.000Z
stasis-eurs,eurs,STASIS EURO,EUR,1.19,7017803,18227.95,5907155.64,-0.55712,2026-08-28T17:48:20.000Z
bilira,tryb,BiLira,TRY,0.02058752,5462671,1.25,265338992.626044,,2026-08-27T10:58:30.000Z
quantoz-eurq,eurq,Quantoz EURQ,EUR,1.12,5169001,3768333,4613598.585709,0.01157,2026-08-28T17:48:20.000Z
zarp-stablecoin,zarp,ZARP Stablecoin,ZAR,0.061513,4550778,10685.37,73979922.21510787,-0.55561,2026-08-28T17:48:20.000Z
pht-stablecoin,pht,PHT Stablecoin,PHP,0.01607427,3616902,101.08,225011899.7613014,,2026-08-14T17:36:40.000Z
vnx-euro,veur,VNX EURO,EUR,1.043,2884205,0.104,2764082.75105,,2026-06-21T12:25:40.000Z
par-stablecoin,par,Parallel,EUR,1.24,2780410,291.47,2240894.0,-0.91804,2026-08-28T17:48:20.000Z
brl1,brl1,BRL1,BRL,0.191711,2631203,544766,13724917.54,-0.92539,2026-08-28T17:48:20.000Z
compliant-naira,cngn,Compliant Naira,NGN,0.00072122,2292897,1.14,3179158880.540488,0.0511,2026-08-28T17:48:20.000Z
mxnb,mxnb,MXNB,MXN,0.058765,2125634,51502,36171556.48821,-0.24092,2026-08-28T17:48:20.000Z
brazilian-real,wbrl,Brazilian real,BRL,0.193325,1686516,3114.39,8723652.5,-2.97602,2026-08-28T17:48:20.000Z
decentralized-euro,deuro,Decentralized Euro,EUR,1.15,1678247,3.49,1455785.969283271,,2026-08-03T23:52:30.000Z
ageur,eura,EURA,EUR,1.17,1658245,39057,1412754.705406503,0.80043,2026-08-28T17:48:20.000Z
celo-euro,eurm,Mento Euro,EUR,1.16,1587794,22171,1364635.224246877,0.31069,2026-08-28T17:48:20.000Z
anchored-coins-eur,aeur,Anchored Coins AEUR,EUR,1.14,1124108,8928.66,983181.76,,2026-07-31T11:00:20.000Z
idrx,idrx,IDRX,IDR,5.658e-05,1048761,5797.07,18534124233.14,0.16047,2026-08-28T17:48:20.000Z
stablr-euro,eurr,StablR Euro,EUR,0.060369,1034920,98.63,17143032.563007,-72.53242,2026-08-28T17:48:20.000Z
jarvis-synthetic-euro,jeur,Jarvis Synthetic Euro,EUR,1.15,621317,799.29,541556.5405305573,0.14219,2026-08-28T17:48:20.000Z
newrails-euro,eurw,Newrails Euro,EUR,1.16,330029,1399643,285017.1636,-0.59786,2026-08-28T17:48:20.000Z
tether-eurt,eurt,Euro Tether,EUR,0.071736,297988,136.85,4153902.7318629995,,2026-08-28T17:48:20.000Z
celo-real-creal,brlm,Mento Brazilian Real,BRL,0.192573,221553,7208.74,1151169.155762862,-0.63084,2026-08-28T17:48:20.000Z
token-teknoloji-a-s-euro,eurot,Token Teknoloji A.Ş. EURO,EUR,1.16,185481,5463.58,160000.0,-0.51833,2026-08-28T17:48:20.000Z
argentine-peso,wars,Argentine Peso,ARS,0.00062557,182041,22241,291000000.0,-0.8025,2026-08-28T17:48:20.000Z
colombian-peso,wcop,Colombian Peso,COP,0.00031758,90275,2652.12,284258753.7968985,-2.87955,2026-08-28T17:48:20.000Z
real-mxn,mxne,Real MXN,MXN,0.058557,83678,339.62,1428994.67,-0.55889,2026-08-28T17:48:20.000Z
celo-kenyan-shilling,kesm,Mento Kenyan Shilling,KES,0.00775011,80177,258.98,10346465.27979865,0.07919,2026-08-28T17:48:20.000Z
mexican-peso,wmxn,Mexican Peso,MXN,0.058875,57038,231.73,968788.6930900001,0.04822,2026-08-28T17:48:20.000Z
celo-nigerian-naira,ngnm,Mento Nigerian Naira,NGN,0.00073052,56599,9.94,77476873.2520525,,2026-06-24T03:06:20.000Z
celo-south-african-rand,zarm,Mento South African Rand,ZAR,0.061794,50324,1.61,814379.4936947487,,2026-08-19T22:40:30.000Z
puso,phpm,Mento Philippine Peso,PHP,0.01607892,25893,115.88,1610375.613343535,-0.66174,2026-08-28T17:48:20.000Z
ccop,copm,Mento Colombian Peso,COP,0.00031878,21675,9.93,67994219.89493266,,2026-08-16T05:39:40.000Z
seur,seur,sEUR,EUR,0.01848619,18393.83,0.924309,995003.8666365609,,2026-06-27T06:42:30.000Z
stablenaira,snr,StableNaira,NGN,0.0,3.9618e-14,14.94,27600988.77,,2026-07-23T17:18:30.000Z
real-usd,usdr,Real USD,BRL,0.446248,0.0,169.85,0.0,-0.61503,2026-08-28T17:48:20.000Z
