id,symbol,name,peg_ccy,current_price,market_cap,total_volume,circulating_supply,price_change_percentage_24h,last_updated
euro-coin,eurc,EURC,EUR,1.17,453033819,33859809,387750115.0772471,-0.30277,2026-08-24T06:13:20.000Z
societe-generale-forge-eurcv,eurcv,EUR CoinVertible,EUR,1.17,169740001,14571925,145270413.36,-0.19308,2026-08-24T06:13:20.000Z
royal-euro,reur,Royal Euro,EUR,4.13,62008637,19804868,15000000.0,,2026-06-29T19:55:10.000Z
brz,brz,Brazilian Digital,BRL,0.193478,55464295,1296.79,285719045.8724524,-0.0448,2026-08-24T06:13:20.000Z
eurite,euri,Eurite,EUR,1.17,38717969,26013248,33139851.48990108,-2.85548,2026-08-24T06:13:20.000Z
monerium-eur-money-2,eure,Monerium EUR emoney,EUR,1.17,33347977,550811,28520827.68556439,-0.05125,2026-08-24T06:13:20.000Z
brla-digital-brla,brla,BRLA Digital BRLA,BRL,0.193462,31797916,37083,163907716.2442368,0.04982,2026-08-24T06:13:20.000Z
monerium-eur-money,eure,Monerium EUR emoney [OLD],EUR,1.17,28195356,245186,24119146.84308149,-0.18761,2026-08-24T06:13:20.000Z
xsgd,xsgd,XSGD,SGD,0.786956,12804616,790197,16270482.639569,0.00061,2026-08-24T06:13:20.000Z
rupiah-token,idrt,Rupiah Token,IDR,5.49e-05,9544699,2.42,173856905811.0,,2026-08-23T17:28:20.000Z
stablr-euro,eurr,StablR Euro,EUR,0.420056,7201027,103.17,17143032.563007,-11.96199,2026-08-24T03:27:50.000Z
stasis-eurs,eurs,STASIS EURO,EUR,1.19,7048753,3.75,5907155.64,-0.47237,2026-08-24T06:13:20.000Z
bilira,tryb,BiLira,TRY,0.02055096,5877604,30.8,286001377.600774,,2026-08-20T07:43:20.000Z
quantoz-eurq,eurq,Quantoz EURQ,EUR,1.13,5191058,3513382,4613598.585709,0.02501,2026-08-24T06:13:20.000Z
zarp-stablecoin,zarp,ZARP Stablecoin,ZAR,0.061334,4536969,532.13,73979922.21510787,-0.3788,2026-08-24T06:13:20.000Z
pht-stablecoin,pht,PHT Stablecoin,PHP,0.01607427,3616902,101.08,225011899.7613014,,2026-08-14T17:36:40.000Z
vnx-euro,veur,VNX EURO,EUR,1.043,2884205,0.104,2764082.75105,,2026-06-21T12:25:40.000Z
par-stablecoin,par,Parallel,EUR,1.24,2774804,336.11,2240894.0,0.65888,2026-08-24T06:13:20.000Z
brl1,brl1,BRL1,BRL,0.194358,2618905,232528,13475058.54,0.02613,2026-08-24T06:13:20.000Z
compliant-naira,cngn,Compliant Naira,NGN,0.0007179,2389993,1.085,3329160380.540488,-0.2766,2026-08-24T06:13:20.000Z
mxnb,mxnb,MXNB,MXN,0.058954,2156322,537.09,36576001.12821,0.07594,2026-08-24T06:13:20.000Z
celo-euro,eurm,Mento Euro,EUR,1.17,1699565,2276.09,1454799.347515601,-0.42703,2026-08-24T06:13:20.000Z
brazilian-real,wbrl,Brazilian real,BRL,0.1934,1687217,319.14,8723652.5,0.4248,2026-08-24T06:13:20.000Z
decentralized-euro,deuro,Decentralized Euro,EUR,1.15,1678247,3.49,1455785.969283271,,2026-08-03T23:52:30.000Z
ageur,eura,EURA,EUR,1.17,1649010,47286,1411475.722214191,-0.22803,2026-08-24T06:13:20.000Z
anchored-coins-eur,aeur,Anchored Coins AEUR,EUR,1.14,1124108,8928.66,983181.76,,2026-07-31T11:00:20.000Z
idrx,idrx,IDRX,IDR,5.684e-05,1053460,14092.2,18534124233.14,0.02036,2026-08-24T06:13:20.000Z
jarvis-synthetic-euro,jeur,Jarvis Synthetic Euro,EUR,1.15,623211,651.04,541556.5405305573,-0.01511,2026-08-24T06:13:20.000Z
newrails-euro,eurw,Newrails Euro,EUR,1.17,319029,2946318,273160.8436,-1.59621,2026-08-24T06:13:20.000Z
tether-eurt,eurt,Euro Tether,EUR,0.053751,223275,19.72,4153902.7318629995,0.96559,2026-08-23T08:38:20.000Z
celo-real-creal,brlm,Mento Brazilian Real,BRL,0.194223,216118,690.16,1112692.142296729,-0.27467,2026-08-24T06:13:20.000Z
token-teknoloji-a-s-euro,eurot,Token Teknoloji A.Ş. EURO,EUR,1.17,186771,3233.95,160000.0,-2.83806,2026-08-24T06:13:20.000Z
argentine-peso,wars,Argentine Peso,ARS,0.00063872,185859,1939.58,291000000.0,0.98616,2026-08-24T06:13:20.000Z
celo-kenyan-shilling,kesm,Mento Kenyan Shilling,KES,0.00774602,164926,38.75,21290976.72519865,-0.00155,2026-08-24T06:13:20.000Z
real-mxn,mxne,Real MXN,MXN,0.059206,84605,110.02,1428994.67,,2026-08-21T19:54:30.000Z
colombian-peso,wcop,Colombian Peso,COP,0.00032861,77850,437.44,236898753.7968985,3.5721,2026-08-24T06:13:20.000Z
mexican-peso,wmxn,Mexican Peso,MXN,0.058717,56887,185.51,968788.6930900001,0.04624,2026-08-24T06:13:20.000Z
celo-nigerian-naira,ngnm,Mento Nigerian Naira,NGN,0.00073052,56599,9.94,77476873.2520525,,2026-06-24T03:06:20.000Z
celo-south-african-rand,zarm,Mento South African Rand,ZAR,0.061794,50324,1.61,814379.4936947487,,2026-08-19T22:40:30.000Z
puso,phpm,Mento Philippine Peso,PHP,0.01620039,25993,6.56,1604389.535864435,,2026-08-24T06:13:20.000Z
ccop,copm,Mento Colombian Peso,COP,0.00031878,21675,9.93,67994219.89493266,,2026-08-16T05:39:40.000Z
seur,seur,sEUR,EUR,0.01848619,18393.83,0.924309,995003.8666365609,,2026-06-27T06:42:30.000Z
stablenaira,snr,StableNaira,NGN,0.0,3.9618e-14,14.94,27600988.77,,2026-07-23T17:18:30.000Z
real-usd,usdr,Real USD,BRL,0.450874,0.0,652.79,0.0,-0.2407,2026-08-24T06:13:20.000Z
