id,symbol,name,peg_ccy,current_price,market_cap,total_volume,circulating_supply,price_change_percentage_24h,last_updated
euro-coin,eurc,EURC,EUR,1.16,464208195,41993201,400500314.4486475,-0.03042,2026-09-12T09:40:10.000Z
societe-generale-forge-eurcv,eurcv,EUR CoinVertible,EUR,1.16,191734296,34048769,165425680.15,-0.04552,2026-09-12T09:40:10.000Z
royal-euro,reur,Royal Euro,EUR,4.13,62008637,19804868,15000000.0,,2026-06-29T19:55:10.000Z
brz,brz,Brazilian Digital,BRL,0.195751,53349112,19027.01,272541939.8335043,0.43479,2026-09-12T09:40:10.000Z
eurite,euri,Eurite,EUR,1.16,38418453,4282822,33139851.48990108,0.00378,2026-09-12T09:40:10.000Z
monerium-eur-money-2,eure,Monerium EUR emoney,EUR,1.16,32878301,1010566,28326760.33228174,0.09715,2026-09-12T09:40:10.000Z
brla-digital-brla,brla,BRLA Digital BRLA,BRL,0.195504,31569875,114966,161482976.8824142,0.4091,2026-09-12T09:40:10.000Z
monerium-eur-money,eure,Monerium EUR emoney [OLD],EUR,1.16,27584265,286049,23774867.88721898,-0.04448,2026-09-12T09:40:10.000Z
xsgd,xsgd,XSGD,SGD,0.789453,13015823,618694,16487374.589569,0.09589,2026-09-12T09:40:10.000Z
rupiah-token,idrt,Rupiah Token,IDR,5.615e-05,9762117,4.76,173856905811.0,,2026-09-12T01:38:20.000Z
stasis-eurs,eurs,STASIS EURO,EUR,1.18,6974700,19871.36,5907155.64,-0.19637,2026-09-12T09:40:10.000Z
quantoz-eurq,eurq,Quantoz EURQ,EUR,1.13,5216254,3821041,4613598.585709,0.01614,2026-09-12T09:40:10.000Z
zarp-stablecoin,zarp,ZARP Stablecoin,ZAR,0.061666,4439925,47.7,72000353.81510787,0.52765,2026-09-12T09:40:10.000Z
pht-stablecoin,pht,PHT Stablecoin,PHP,0.01607427,3616902,101.08,225011899.7613014,,2026-08-14T17:36:40.000Z
brl1,brl1,BRL1,BRL,0.194884,2875522,544813,14754917.54,-0.30865,2026-09-12T09:40:10.000Z
par-stablecoin,par,Parallel,EUR,1.22,2738983,198.3,2240894.0,0.54764,2026-09-12T09:40:10.000Z
compliant-naira,cngn,Compliant Naira,NGN,0.00073158,2658548,19463.38,3634037144.710523,0.41344,2026-09-12T09:40:10.000Z
mxnb,mxnb,MXNB,MXN,0.058863,2452855,2046.35,41670814.07821,-0.00569,2026-09-12T09:40:10.000Z
brazilian-real,wbrl,Brazilian real,BRL,0.194162,1781147,5861.63,9173652.5,-0.46654,2026-09-12T09:40:10.000Z
decentralized-euro,deuro,Decentralized Euro,EUR,1.15,1678247,3.49,1455785.969283271,,2026-08-03T23:52:30.000Z
ageur,eura,EURA,EUR,1.16,1619230,51323,1390546.63771486,0.37843,2026-09-12T09:40:10.000Z
celo-euro,eurm,Mento Euro,EUR,1.15,1562077,3997.89,1354314.906281173,-0.69554,2026-09-12T09:40:10.000Z
bilira,tryb,BiLira,TRY,0.02048033,1380833,5.69,67422430.983414,,2026-09-04T07:42:20.000Z
anchored-coins-eur,aeur,Anchored Coins AEUR,EUR,1.14,1124108,8928.66,983181.76,,2026-07-31T11:00:20.000Z
idrx,idrx,IDRX,IDR,5.701e-05,1056693,2892.72,18534124233.14,-0.19236,2026-09-12T09:40:10.000Z
stablr-euro,eurr,StablR Euro,EUR,0.059636,1022345,7.85,17143032.563007,,2026-09-09T23:56:40.000Z
vnx-euro,veur,VNX EURO,EUR,0.289208,799394,0.104,2764082.75105,,2026-06-21T12:25:40.000Z
jarvis-synthetic-euro,jeur,Jarvis Synthetic Euro,EUR,1.11,601949,975.65,541556.5405305573,-0.54592,2026-09-12T09:40:10.000Z
newrails-euro,eurw,Newrails Euro,EUR,1.16,410759,1556862,354365.9736,0.05449,2026-09-12T09:40:10.000Z
tether-eurt,eurt,Euro Tether,EUR,0.056552,235597,7.63,4153902.7318629995,,2026-09-12T09:40:10.000Z
celo-real-creal,brlm,Mento Brazilian Real,BRL,0.194502,209531,5173.4,1077286.457984782,-0.77755,2026-09-12T09:40:10.000Z
colombian-peso,wcop,Colombian Peso,COP,0.00031924,201517,1439.46,631258753.7968985,0.57867,2026-09-12T09:40:10.000Z
token-teknoloji-a-s-euro,eurot,Token Teknoloji A.Ş. EURO,EUR,1.16,185788,2630.05,160000.0,0.00372,2026-09-12T09:40:10.000Z
argentine-peso,wars,Argentine Peso,ARS,0.00062921,183097,6675.03,291000000.0,-0.13403,2026-09-12T09:40:10.000Z
real-mxn,mxne,Real MXN,MXN,0.058861,84113,140.73,1428994.67,,2026-09-02T21:10:50.000Z
celo-kenyan-shilling,kesm,Mento Kenyan Shilling,KES,0.00773468,80027,159.48,10346607.84432118,-0.09903,2026-09-12T09:40:10.000Z
mexican-peso,wmxn,Mexican Peso,MXN,0.059039,57196,146.47,968788.6930900001,-0.55912,2026-09-12T09:40:10.000Z
celo-nigerian-naira,ngnm,Mento Nigerian Naira,NGN,0.00073052,56599,9.94,77476873.2520525,,2026-06-24T03:06:20.000Z
puso,phpm,Mento Philippine Peso,PHP,0.01595851,25792,36.2,1616209.753568861,0.01368,2026-09-12T09:40:10.000Z
ccop,copm,Mento Colombian Peso,COP,0.00031878,21675,9.93,67994219.89493266,,2026-08-16T05:39:40.000Z
celo-south-african-rand,zarm,Mento South African Rand,ZAR,0.062076,681.09,1.91,10971.83518684179,,2026-09-11T00:21:10.000Z
stablenaira,snr,StableNaira,NGN,0.0,3.9618e-14,14.94,27600988.77,,2026-07-23T17:18:30.000Z
real-usd,usdr,Real USD,BRL,0.442493,0.0,230.51,0.0,0.17148,2026-09-12T09:40:10.000Z
