id,symbol,name,peg_ccy,current_price,market_cap,total_volume,circulating_supply,price_change_percentage_24h,last_updated
euro-coin,eurc,EURC,EUR,1.16,460282484,9933320,397598679.3386681,-0.02704,2026-08-30T10:46:20.000Z
societe-generale-forge-eurcv,eurcv,EUR CoinVertible,EUR,1.16,181301463,4512857,156645983.99,-0.05473,2026-08-30T10:46:20.000Z
royal-euro,reur,Royal Euro,EUR,4.13,62008637,19804868,15000000.0,,2026-06-29T19:55:10.000Z
brz,brz,Brazilian Digital,BRL,0.191826,52103602,4896.0,271675125.645647,0.13008,2026-08-30T10:46:20.000Z
eurite,euri,Eurite,EUR,1.16,38365520,11300181,33139851.48990108,-0.01571,2026-08-30T10:46:20.000Z
brla-digital-brla,brla,BRLA Digital BRLA,BRL,0.191802,34460573,79237,179701900.7667084,0.03781,2026-08-30T10:46:20.000Z
monerium-eur-money-2,eure,Monerium EUR emoney,EUR,1.16,32757737,227399,28361304.31121993,-0.44466,2026-08-30T10:46:20.000Z
monerium-eur-money,eure,Monerium EUR emoney [OLD],EUR,1.16,27581434,284048,23873138.8300853,-0.38171,2026-08-30T10:46:20.000Z
xsgd,xsgd,XSGD,SGD,0.785283,12894523,92464,16420482.639569,-0.04636,2026-08-30T10:46:20.000Z
rupiah-token,idrt,Rupiah Token,IDR,5.487e-05,9541081,11.2,173856905811.0,,2026-08-30T10:46:20.000Z
stasis-eurs,eurs,STASIS EURO,EUR,1.18,6962449,208.68,5907155.64,-0.80278,2026-08-30T10:46:20.000Z
bilira,tryb,BiLira,TRY,0.02058752,5462671,1.25,265338992.626044,,2026-08-27T10:58:30.000Z
quantoz-eurq,eurq,Quantoz EURQ,EUR,1.12,5160063,3107727,4613598.585709,-0.11949,2026-08-30T10:46:20.000Z
zarp-stablecoin,zarp,ZARP Stablecoin,ZAR,0.061492,4549166,1037.63,73979922.21510787,0.01423,2026-08-30T10:46:20.000Z
pht-stablecoin,pht,PHT Stablecoin,PHP,0.01607427,3616902,101.08,225011899.7613014,,2026-08-14T17:36:40.000Z
par-stablecoin,par,Parallel,EUR,1.25,2797150,75.56,2240894.0,1.00614,2026-08-30T10:46:20.000Z
compliant-naira,cngn,Compliant Naira,NGN,0.00072497,2667915,1232.84,3680046224.713752,-0.19755,2026-08-30T10:46:20.000Z
brl1,brl1,BRL1,BRL,0.191914,2634007,50299,13724917.54,-0.22501,2026-08-30T10:46:20.000Z
mxnb,mxnb,MXNB,MXN,0.058691,2183581,7427.49,37204828.57821,-0.33469,2026-08-30T10:46:20.000Z
brazilian-real,wbrl,Brazilian real,BRL,0.193783,1690497,792.46,8723652.5,0.57559,2026-08-30T10:46:20.000Z
decentralized-euro,deuro,Decentralized Euro,EUR,1.15,1678247,3.49,1455785.969283271,,2026-08-03T23:52:30.000Z
ageur,eura,EURA,EUR,1.15,1636158,3303.12,1416610.15514424,-0.36105,2026-08-30T10:46:20.000Z
celo-euro,eurm,Mento Euro,EUR,1.16,1587984,6215.31,1364627.316349112,0.35227,2026-08-30T10:46:20.000Z
anchored-coins-eur,aeur,Anchored Coins AEUR,EUR,1.14,1124108,8928.66,983181.76,,2026-07-31T11:00:20.000Z
idrx,idrx,IDRX,IDR,5.669e-05,1050730,9359.87,18534124233.14,-0.04591,2026-08-30T10:46:20.000Z
stablr-euro,eurr,StablR Euro,EUR,0.059251,1015748,152.09,17143032.563007,-0.00478,2026-08-30T01:33:20.000Z
vnx-euro,veur,VNX EURO,EUR,0.289208,799394,0.104,2764082.75105,,2026-06-21T12:25:40.000Z
jarvis-synthetic-euro,jeur,Jarvis Synthetic Euro,EUR,1.16,630613,155.54,541556.5405305573,1.75641,2026-08-30T10:46:20.000Z
newrails-euro,eurw,Newrails Euro,EUR,1.16,329932,106242,285017.1636,-0.03151,2026-08-30T10:46:20.000Z
tether-eurt,eurt,Euro Tether,EUR,0.057793,240108,244.89,4153902.7318629995,2.19267,2026-08-30T10:46:20.000Z
celo-real-creal,brlm,Mento Brazilian Real,BRL,0.193453,223406,4.88,1154912.354908633,0.6826,2026-08-30T10:46:20.000Z
colombian-peso,wcop,Colombian Peso,COP,0.00031609,190049,340.02,601258753.7968985,0.01515,2026-08-30T10:46:20.000Z
token-teknoloji-a-s-euro,eurot,Token Teknoloji A.Ş. EURO,EUR,1.16,185488,6200.75,160000.0,-0.0206,2026-08-30T10:46:20.000Z
argentine-peso,wars,Argentine Peso,ARS,0.00063001,183333,6818.13,291000000.0,0.1597,2026-08-30T10:46:20.000Z
real-mxn,mxne,Real MXN,MXN,0.058579,83710,39.27,1428994.67,-0.04504,2026-08-30T03:13:20.000Z
celo-kenyan-shilling,kesm,Mento Kenyan Shilling,KES,0.00774733,80157,66.18,10346465.27979865,0.02991,2026-08-30T10:46:20.000Z
mexican-peso,wmxn,Mexican Peso,MXN,0.059013,57171,468.17,968788.6930900001,0.79766,2026-08-30T10:46:20.000Z
celo-nigerian-naira,ngnm,Mento Nigerian Naira,NGN,0.00073052,56599,9.94,77476873.2520525,,2026-06-24T03:06:20.000Z
celo-south-african-rand,zarm,Mento South African Rand,ZAR,0.061794,50324,1.61,814379.4936947487,,2026-08-19T22:40:30.000Z
puso,phpm,Mento Philippine Peso,PHP,0.01607895,25893,21.69,1610375.613343535,0.00879,2026-08-29T22:30:40.000Z
