id,symbol,name,peg_ccy,current_price,market_cap,total_volume,circulating_supply,price_change_percentage_24h,last_updated
euro-coin,eurc,EURC,EUR,1.15,473470589,33701275,412807768.1860882,-0.5439,2026-09-17T10:31:20.000Z
societe-generale-forge-eurcv,eurcv,EUR CoinVertible,EUR,1.15,191433909,53404579,166871712.94,-0.5811,2026-09-17T10:31:20.000Z
royal-euro,reur,Royal Euro,EUR,4.13,62008637,19804868,15000000.0,,2026-06-29T19:55:10.000Z
brz,brz,Brazilian Digital,BRL,0.192977,52660396,6038.59,272883782.6248372,-0.17381,2026-09-17T10:31:20.000Z
eurite,euri,Eurite,EUR,1.15,38040386,12855067,33139851.48990108,-0.49466,2026-09-17T10:31:20.000Z
monerium-eur-money-2,eure,Monerium EUR emoney,EUR,1.15,32299043,879682,28173981.6751647,-0.49585,2026-09-17T10:31:20.000Z
monerium-eur-money,eure,Monerium EUR emoney [OLD],EUR,1.15,27081053,505937,23612506.15010193,-0.43739,2026-09-17T10:31:20.000Z
brla-digital-brla,brla,BRLA Digital BRLA,BRL,0.19318,26930258,117564,139404967.3500268,-0.18468,2026-09-17T10:31:20.000Z
xsgd,xsgd,XSGD,SGD,0.783839,13032873,938625,16627374.589569,-0.14867,2026-09-17T10:31:20.000Z
rupiah-token,idrt,Rupiah Token,IDR,5.629e-05,9786352,7.94,173856905811.0,-0.34869,2026-09-17T09:23:20.000Z
stasis-eurs,eurs,STASIS EURO,EUR,1.18,6952695,3464.77,5907155.64,-0.24138,2026-09-17T10:31:20.000Z
quantoz-eurq,eurq,Quantoz EURQ,EUR,1.11,5148941,1690600,4630023.285709,0.57062,2026-09-17T10:31:20.000Z
zarp-stablecoin,zarp,ZARP Stablecoin,ZAR,0.0603,4342342,19970.4,72004353.81510787,-0.17768,2026-09-17T10:31:20.000Z
bilira,tryb,BiLira,TRY,0.02046676,3726863,1.66,182093457.704537,,2026-09-16T09:13:40.000Z
pht-stablecoin,pht,PHT Stablecoin,PHP,0.01607427,3616902,101.08,225011899.7613014,,2026-08-14T17:36:40.000Z
compliant-naira,cngn,Compliant Naira,NGN,0.00072908,3006748,20010,4124037569.720522,0.3991,2026-09-17T10:31:20.000Z
par-stablecoin,par,Parallel,EUR,1.22,2731296,118.69,2240894.0,0.52085,2026-09-17T10:31:20.000Z
brl1,brl1,BRL1,BRL,0.193888,2608743,522750,13454917.54,-0.06833,2026-09-17T10:31:20.000Z
mxnb,mxnb,MXNB,MXN,0.058011,2493208,181032,42977948.30821,-0.56281,2026-09-17T10:31:20.000Z
brazilian-real,wbrl,Brazilian real,BRL,0.194672,1781965,434.22,9153687.38,0.52381,2026-09-17T10:31:20.000Z
decentralized-euro,deuro,Decentralized Euro,EUR,1.15,1678247,3.49,1455785.969283271,,2026-08-03T23:52:30.000Z
ageur,eura,EURA,EUR,1.15,1589681,15046.04,1386330.307331482,-0.53281,2026-09-17T10:31:20.000Z
celo-euro,eurm,Mento Euro,EUR,1.15,1551422,10944.43,1354314.906281173,-0.88143,2026-09-17T10:31:20.000Z
